fec_candidate_id,name,party,status,state,zip,fec_committee_id,cycle,cand_status,office_state,district,branch,url,crp_id
H8OH01126,"SETA, ANTHONY J.",GRE,C,OH,45239,,2018,N,OH,1,H,,
H2OH02077,"CONDIT, JR., JIM",GRE,C,OH,45247,C00430736,2018,N,OH,2,H,,
H8OH02124,"SCHILLER, JILL",DEM,C,OH,45208,C00666743,2018,C,OH,2,H,http://voteschiller.com/,
H2OH02085,"WENSTRUP, BRAD",REP,I,OH,45209,C00497818,2018,C,OH,2,H,http://www.usabrad.com/,N00033310
H2OH03125,"BEATTY, JOYCE",DEM,I,OH,43004,C00507368,2018,C,OH,3,H,http://www.beattyforcongress.com/,N00033904
H8OH03106,"BURGESS, JAMES E",REP,C,OH,43230,,2018,N,OH,3,H,http://burgessforohio.com/,
H4OH04046,"GARRETT, JANET PATRICIA MRS.",DEM,C,OH,44074,C00560847,2018,C,OH,4,H,http://www.janetgarrett.com/,N00036353
H6OH04082,"JORDAN, JAMES D.",REP,I,OH,43078,C00416594,2018,C,OH,4,H,http://jimjordanforcongress.com/,N00027894
H8OH05150,"GALBRAITH, JOHN MICHAEL",DEM,C,OH,43537,C00638999,2018,C,OH,5,H,https://galbraithforcongress.com/,
H8OH05036,"LATTA, ROBERT EDWARD",REP,I,OH,43402,C00438697,2018,C,OH,5,H,https://lattaforcongress.com/,N00012233
H0OH06189,"JOHNSON, BILL",REP,I,OH,45750,C00476820,2018,C,OH,6,H,,N00032088
H8OH06133,"ROBERTS, SHAWNA",DEM,C,OH,43718,C00670232,2018,N,OH,6,H,https://www.shawnarobertsforcongress2018.org/,
H0OH18077,"GIBBS, ROBERT",REP,I,OH,44638,C00466516,2018,C,OH,7,H,http://bobgibbsforcongress.com/,N00031128
H8OH07123,"HARBAUGH, KENNETH",DEM,C,OH,44011,C00646752,2018,C,OH,7,H,kenharbaughforcongress.com/,
H6OH08315,"DAVIDSON, WARREN",REP,I,OH,45373,C00600718,2018,C,OH,8,H,https://www.davidsonforcongress.com/,N00038767
H8OH08097,"ENOCH, VANESSA L. DR.",DEM,C,OH,45069,C00667279,2018,C,OH,8,H,https://enochforcongress.com/,
H2OH09031,"KAPTUR, MARCY HON. M.C.",DEM,I,OH,43697,C00154625,2018,C,OH,9,H,https://marcykaptur.com/,N00003522
H2OH09122,"KRAUS, STEVEN WAYNE",REP,C,OH,44871,C00592543,2018,N,OH,9,H,https://www.krausforthehaus.com/,N00033645
H8OH09103,"LEVINDOFSKE, MCKENZIE",NNE,C,OH,0,,2018,N,OH,9,H,http://www.mckenzieforcongress.com/,
H8OH10119,"GASPER, THERESA",DEM,C,OH,45434,C00665471,2018,C,OH,10,H,https://www.gasperforcongress.com/,
H8OH10135,"LITTLE, MICHAEL JAMES HARLESS",NNE,C,OH,45335,C00672105,2018,N,OH,10,H,,
H2OH03067,"TURNER, MICHAEL R",REP,I,OH,45429,C00373001,2018,C,OH,10,H,http://www.miketurner.com/,N00025175
H8OH11141,"FUDGE, MARCIA L",DEM,I,OH,44122,C00454694,2018,C,OH,11,H,http://marcialfudge.com/,N00030490
H6OH11160,"GOLDSTEIN, BEVERLY A.",REP,C,OH,0,C00612697,2018,N,OH,11,H,http://beverly4congress.com/,N00039145
H8OH12180,"BALDERSON, TROY",REP,O,OH,43702,C00662650,2018,C,OH,12,H,http://www.baldersonforcongress.com/,
H6OH12119,"MANCHIK, JOE",GRE,O,OH,43068,,2018,N,OH,12,H,https://manchikforcongress.wordpress.com/,
H8OH12297,"O'CONNOR, DANIEL JAY",DEM,O,OH,43214,C00667964,2018,C,OH,12,H,http://dannyoconnorforcongress.com/,
H8OH12156,"VELEY, JONATHAN ALAN",IND,O,OH,43055,C00660142,2018,N,OH,12,H,http://www.voteveley.com/,
H8OH13147,"DEPIZZO, CHRIS",REP,C,OH,44512,C00659151,2018,C,OH,13,H,https://depizzoforcongress.com/,
H2OH14064,"JOYCE, DAVID P",REP,I,OH,44072,C00527457,2018,C,OH,14,H,http://joyceforcongress.com/,N00035007
H8OH14111,"RADER, ELIZABETH ANNE",DEM,C,OH,44072,C00637967,2018,C,OH,14,H,https://www.betsyraderforcongress.com/,
H8OH14152,"RAJIAH, JAMES",IND,C,OH,44224,C00674374,2018,N,OH,14,H,https://www.jamesrajiah.us/,
H8OH15134,"NEAL, RICK",DEM,C,OH,43206,C00652651,2018,C,OH,15,H,http://rickneal.com/,
H8OH15076,"STIVERS, STEVE MR.",REP,I,OH,43212,C00441352,2018,C,OH,15,H,https://stevestivers.com/,N00029574
H8OH16124,"GONZALEZ, ANTHONY E",REP,O,OH,44145,C00654079,2018,C,OH,16,H,https://voteanthonygonzalez.com/,
